url_len,who_is,https,js_len,js_obf_len,dot_count,www_count,embed_url_count,https_count,space_count,=_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_porn_d,if_google_d,if_cn,if_japan,if_korea
31,0,0,625.5,369.045,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
29,0,0,350.1,227.565,2,0,-1,0,0,0,0,12,0,0,0,0,0,0,0,0
27,0,0,0.0,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
22,0,0,706.5,536.94,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
37,0,0,681.3,347.463,3,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
67,0,0,353.7,162.702,2,1,-1,0,0,0,1,3,1,1,0,1,0,0,0,0
47,0,0,359.1,308.826,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
28,0,0,792.9,586.746,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
32,0,0,527.4,337.536,4,1,-1,0,0,0,0,5,0,0,0,0,0,0,1,0
70,0,0,827.1,686.493,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
33,1,0,441.9,185.598,3,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
23,0,0,341.1,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
35,0,0,648.9,473.697,2,1,-1,0,0,0,1,3,0,1,0,1,0,0,0,0
50,0,0,536.4,327.204,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
46,0,0,486.0,199.26,3,1,-1,0,0,0,0,4,0,0,0,0,0,0,0,0
39,0,0,831.6,640.332,2,1,-1,0,0,0,1,3,1,0,0,0,0,0,0,0
40,0,0,419.4,289.386,3,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
30,0,1,803.7,626.886,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
30,0,0,620.1,471.276,1,0,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
23,0,0,549.9,373.932,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
26,0,0,780.3,639.846,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
35,0,0,778.5,420.39,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
23,0,0,531.0,318.6,3,1,-1,0,0,0,0,5,0,0,0,0,0,1,0,0
57,0,0,730.8,540.792,3,1,-1,0,0,0,1,3,1,1,0,0,0,0,0,0
55,0,0,355.5,245.295,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
29,0,1,459.9,312.732,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
32,0,0,454.5,304.515,3,1,-1,0,0,0,0,6,0,0,0,0,0,0,0,0
33,0,0,773.1,618.48,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
24,0,0,670.5,489.465,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
48,0,0,845.1,481.707,2,1,-1,0,0,0,1,3,1,1,0,1,0,0,0,0
44,0,0,441.0,282.24,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
29,0,0,712.8,406.296,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
30,0,0,696.6,313.47,2,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
49,0,0,477.0,357.75,4,0,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
30,0,0,700.2,651.186,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
23,0,0,689.4,461.898,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
42,0,0,498.6,358.992,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,1,0
27,0,0,527.4,448.29,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
48,0,1,664.2,332.1,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
38,0,0,384.3,172.935,3,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
51,0,0,503.1,236.457,4,1,-1,0,0,0,0,5,0,0,0,0,0,1,0,0
22,0,0,835.2,342.432,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
27,0,0,792.9,483.669,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
26,0,0,398.7,259.155,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
29,0,0,689.4,358.488,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
40,0,0,662.4,616.032,4,1,-1,0,0,0,0,5,0,0,0,0,0,1,0,0
25,0,1,635.4,317.7,2,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
25,1,0,830.7,440.271,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
46,0,0,463.5,352.26,3,1,-1,0,0,0,1,3,0,1,0,1,0,0,0,0
24,0,0,772.2,664.092,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,1,0
24,0,1,670.5,630.27,2,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
49,0,0,710.1,582.282,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
27,0,0,389.7,272.79,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
17,0,0,379.8,307.638,2,1,-1,0,0,0,0,6,0,0,0,0,0,0,1,0
28,0,0,567.0,323.19,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
47,0,0,328.5,0.0,2,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
25,0,0,530.1,413.478,2,0,-1,0,0,0,0,2,0,0,0,0,0,1,0,0
30,0,0,406.8,329.508,2,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
44,0,0,341.1,0.0,2,0,-1,0,0,0,1,3,1,0,0,0,0,0,0,0
41,0,1,621.0,353.97,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
36,0,0,697.5,285.975,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
66,0,0,837.0,719.82,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
43,0,0,566.1,345.321,2,1,-1,0,0,0,1,3,1,1,0,1,0,0,1,0
63,0,0,653.4,424.71,2,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
28,0,0,768.6,660.996,2,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
42,0,0,629.1,484.407,4,1,-1,0,0,0,0,6,0,0,0,0,0,0,0,0
43,0,0,459.0,229.5,3,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
31,0,0,360.0,237.6,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
25,0,0,492.3,280.611,2,1,-1,0,0,0,0,2,0,0,0,0,0,1,0,0
29,0,0,350.1,161.046,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
29,0,0,594.9,339.093,3,1,-1,0,0,0,0,5,0,0,0,0,0,0,0,0
21,0,0,414.0,306.36,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
29,0,0,515.7,350.676,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
41,0,0,805.5,362.475,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
32,0,0,591.3,413.91,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
34,0,0,603.9,543.51,2,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
