url_len,who_is,https,js_len,www_count,embed_url_count,count@,shortened_url,http_count,space_count,?_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_ali_d,if_jd_d,if_usa,if_india,if_africa,if_korea
55,0,0,478.8,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,1,0,0,0
29,0,0,802.8,1,-1,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0
31,0,0,734.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
30,1,0,360.9,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
27,0,0,427.5,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
30,0,0,604.8,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0
27,0,0,706.5,1,-1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
31,0,0,477.9,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
32,0,0,832.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
39,0,0,356.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
25,0,0,805.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
28,0,0,604.8,0,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
19,0,0,0.0,0,-1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
44,0,0,654.3,1,-1,0,0,1,0,0,1,3,1,0,0,0,0,1,0,0,0
32,0,0,423.0,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
65,0,0,754.2,0,-1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0
37,1,0,589.5,0,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
34,0,0,584.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
27,0,0,801.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
44,0,1,342.9,1,-1,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0
46,0,0,490.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
